Stage,Total_Cells,Outlier_Cells,Outlier_Percentage
Aire-stage,343,13,3.79008746355685
ASCL3+_ionocyte,3918,66,1.68453292496172
Cochlear_hair,1631,2,0.122624156958921
CUX2+_neuro,294,3,1.02040816326531
Cycling,112,29,25.8928571428571
DRGX+_sensory_neuro,213,2,0.938967136150235
Early_muscle,6799,97,1.42668039417561
FEZF2+_neuro,288,10,3.47222222222222
HMX2+_ionocyte,917,4,0.436205016357688
Immature,3071,235,7.65223054379681
Keratinocyte,185,11,5.94594594594595
Late_muscle,2067,23,1.11272375423319
lncRNA-enriched_muscle,535,18,3.36448598130841
NKX6-2+_neuro,1749,30,1.71526586620926
SHOX2+_neuro,2589,22,0.849748937813828
Transitional,3956,151,3.8169868554095
Tuft,643,27,4.19906687402799
