"total_cells","passing_cells","min_count","median_count","max_count","min_genes","median_genes","max_genes","stage"
343,343,1713,6395,27252,1045,2868,6631,"Aire-stage"
3918,3918,1359,6592.5,30269,1001,3096.5,6993,"ASCL3+_ionocyte"
1631,1631,1544,9123,29491,1019,3944,6975,"Cochlear_hair"
294,294,1674,9326,27145,1086,3964.5,6934,"CUX2+_neuro"
112,112,2241,11663,36583,1462,4153.5,6972,"Cycling"
213,213,1792,6648,32105,1188,3151,6964,"DRGX+_sensory_neuro"
6799,6799,1310,11657,40528,1004,4247,6989,"Early_muscle"
288,288,1815,6619,25148,1167,3083.5,6689,"FEZF2+_neuro"
917,917,1631,8254,30274,1145,3539,6987,"HMX2+_ionocyte"
3071,3071,1326,4250,23414,1005,2232,6587,"Immature"
185,185,1469,7706,24122,1017,3283,6995,"Keratinocyte"
2067,2067,1598,14247,54320,1025,4448,6996,"Late_muscle"
535,535,1391,6810,30819,1023,3090,6967,"lncRNA-enriched_muscle"
1749,1749,1434,6698,44839,1011,3210,6978,"NKX6-2+_neuro"
2589,2589,1344,6438,31715,1002,3044,6982,"SHOX2+_neuro"
3956,3956,1335,6409,29811,1004,3056.5,6984,"Transitional"
643,643,1502,9501,33498,1013,3764,6972,"Tuft"
